Title,Latitude,Longitude,PowerKW,charging_station_type,anno
A2A Volta,45.47869008472627,9.184458281946926,22,slow,2024
 MediaWorld Certosa,45.48911856689349,9.151014177284983,22,slow,2024
 MediaWorld Rubattino,45.47997883666983,9.246671138487605,22,slow,2024
Mediaworld Piazza Napoli,45.45016685,9.155061631,22,slow,2024
Borromeo Parking,45.463396,9.182692,22,slow,2024
Gabba,45.47048287823648,9.190024056479261,22,slow,2024
 Four Points by Sheraton Milan Center,45.48502108767568,9.198147722499458,22,slow,2024
A2A E-move.me,45.46545575481615,9.180794347,22,slow,2024
Cristallo Mokinba Hotels,45.483432,9.208467,22,slow,2024
Montebianco Mokinba Hotels,45.478773,9.144583,22,slow,2024
Una Hotel Scandinavia,45.48554064,9.164125177,22,slow,2024
The Hub Hotel,45.513811,9.11971,22,slow,2024
Garage Matteotti c/o Hotel Boscolo,45.46682427194659,9.194257923,22,slow,2024
Buonaparte Parking S.R.L.,45.467073871085304,9.180133624846135,22,slow,2024
 Garage Velasca,45.45981112267696,9.191158630892561,22,slow,2024
 Autosilo Diaz,45.46208183813039,9.189903357073591,22,slow,2024
 Autoparcheggio San Barnaba,45.459481889564515,9.196895875975416,22,slow,2024
Enterprise Hotel,45.4867005,9.1575137,22,slow,2024
Vittadini Park,45.44997842,9.19396221,22,slow,2024
S. Ambrogio Parking,45.46390174996123,9.175705189263898,22,slow,2024
Starhotels Rosa Grand,45.46383071,9.193996787,22,slow,2024
A2A Isola Digitale PoliMi,45.47919128334068,9.226239242598341,22,slow,2024
FREETOX Aeroporto di Milano Linate - Arrivi,45.4620456,9.278697346151374,50,fast,2024
 Baglioni Hotel Carlton - Milan,45.46923385865474,9.198595881143774,22,slow,2024
" Bulgari Hotels & Resorts, Milan",45.47014804,9.189403950849737,22,slow,2024
A2A Q8 Easy,45.48400708645978,9.142948986,22,slow,2024
A2A Isola Digitale Cadorna,45.46766119884971,9.177635599,22,slow,2024
A2A Isola Digitale Cinque Giornate,45.46274421926971,9.206955501,22,slow,2024
A2A Isola Digitale Largo Marinai D'Italia,45.45905877177736,9.214555540129469,22,slow,2024
A2A Isola Digitale  S.Agostino ,45.45875399197933,9.169606410905645,22,slow,2024
A2A Isola Digitale Bisceglie,45.45571268853142,9.112913229510115,22,slow,2024
A2A Isola Digitale Pagano,45.46849108003432,9.160211973830984,22,slow,2024
A2A Isola Digitale Piazza Amendola,45.473547080536406,9.151541063,22,slow,2024
A2A Isola Digitale Foro Buonaparte,45.46871304195429,9.183915996000097,22,slow,2024
